,cum_power,Elec_kW,Gas_mxm
4/28/2012,1158.9,2,8
4/29/2012,1167,7,6
4/30/2012,1186.9,10,5
5/1/2012,1202,-8,5
5/2/2012,1222.9,-7,3
5/3/2012,1228,8,6
5/4/2012,1233,8,4
5/5/2012,1253.5,-7,6
5/6/2012,1258.9,12,5
5/7/2012,1270.9,5,8
5/8/2012,1292.2,-8,6
5/9/2012,1302.6,3,7
5/10/2012,1318.4,3,4
5/11/2012,1327.7,5,2
5/12/2012,1338.1,3,4
5/13/2012,1359,-7,5
5/14/2012,1381.3,-5,6
5/15/2012,1410,-15,5
5/16/2012,1421.5,-1,7
5/17/2012,1452,-17,8
5/18/2012,1469,-2,8
5/19/2012,1477,1,6
5/20/2012,1499,-9,2
5/21/2012,1518,-3,2
5/22/2012,1533,-6,2
5/23/2012,1561.9,-13,2
5/24/2012,1588.2,-14,1
5/25/2012,1607.5,-12,1
5/26/2012,1636.7,-20,1
5/27/2012,1665,-15,1
5/28/2012,1692.3,-11,1
5/29/2012,1721.6,-17,1
5/30/2012,1746.3,3,1
5/31/2012,1769.4,-10,1
6/1/2012,1782.5,-4,1
6/2/2012,1802.4,-10,1
6/3/2012,1825.9,-12,2
6/4/2012,1829.1,11,4
6/5/2012,1836.4,7,6
6/6/2012,1864.2,-5,6
6/7/2012,1881.1,-1,5
6/8/2012,1893.6,2,2
6/9/2012,1916,12,3
6/10/2012,1936.8,-4,4
6/11/2012,1948.9,-1,3
6/12/2012,1959.3,-1,3
6/13/2012,1968.7,3,4
6/14/2012,1981.3,3,5
6/15/2012,2007.3,-13,3
6/16/2012,2015.3,2,3
6/17/2012,2034.2,-3,3
6/18/2012,2056.7,-17,2
6/19/2012,2069.9,-1,3
6/20/2012,2090.4,-7,2
6/21/2012,2110.9,-5,2
6/22/2012,2122.7,-1,1
6/23/2012,2142.4,6,1
6/24/2012,2162.4,-6,3
6/25/2012,2173.1,5,3
6/26/2012,2195.7,-7,4
6/27/2012,2219.1,-10,2
6/28/2012,2228.8,3,1
6/29/2012,2251.2,-12,1
6/30/2012,2270.3,-9,1
7/1/2012,2294.4,-10,1
7/2/2012,2317.9,-13,1
7/3/2012,2343.5,-12,1
7/4/2012,2356,1,1
7/5/2012,2376.1,-8,1
7/6/2012,2391.1,-3,1
7/7/2012,2412.8,-11,1
7/8/2012,2430.5,-4,1
7/9/2012,2445.3,0,1
7/10/2012,2456.1,2,1
7/11/2012,2468.7,-2,2
7/12/2012,2484,-10,2
7/13/2012,2500,-15,2
7/14/2012,2515,-15,2
7/15/2012,2531.4,-10,2
7/16/2012,2545.5,1,5
7/17/2012,2552.8,7,5
7/18/2012,2563.4,5,4
7/19/2012,2582.8,-5,3
7/20/2012,2595.9,2.4,2
7/21/2012,2605,4,4
7/22/2012,2627.4,-8,3
7/23/2012,2653.4,-19,2
7/24/2012,2680.6,-15,1
7/25/2012,2707.3,-15,1
7/26/2012,2733,-12,0
7/27/2012,2756,-13,0
7/28/2012,2771.2,-4,0
7/29/2012,2783.7,0,0
7/30/2012,2801.7,-9,0
7/31/2012,2817.4,-6,0
8/1/2012,2825.8,7,3
8/2/2012,2840.6,0,2
8/3/2012,2858.7,-7,1
8/4/2012,2873.3,-1,1
8/5/2012,2888.9,-2,1
8/6/2012,2904.7,-4,1
8/7/2012,2918.8,-4,1
8/8/2012,2932.3,1,2
8/9/2012,2943.8,2,3
8/10/2012,2964.1,-6,2
8/11/2012,2990.1,-7,1
8/12/2012,3014.5,-8,0
8/13/2012,3040.6,-16,0
8/14/2012,3059.6,-6,0
8/15/2012,3072.4,-3,0
8/16/2012,3086.3,-5,0
8/17/2012,3100.6,-2,0
8/18/2012,3125,-12,4
8/19/2012,3147.2,-12,0
8/20/2012,3164.3,-7,0
8/21/2012,3174.7,0,0
8/22/2012,3190.5,-3,0
8/23/2012,3207.2,-5,0
8/24/2012,3229.2,-13,0
8/25/2012,3245,-2,0
8/26/2012,3256.5,2,2
8/27/2012,3270.1,4,1
8/28/2012,3286.8,-4,3
8/29/2012,3306.3,-3,2
8/30/2012,3325.5,-7,1
8/31/2012,3337.4,3,2
9/1/2012,3351,2,4
9/2/2012,3374,-13,3
9/3/2012,3389.6,1,2
9/4/2012,3407.6,-6,2
9/5/2012,3427.6,-8,2
9/6/2012,3445.6,-4,2
9/7/2012,3466.3,-8,2
9/8/2012,3487.1,-10,3
9/9/2012,3507.5,-11,2
9/10/2012,3528.3,-7,1
9/11/2012,3543.6,-3,1
9/12/2012,3553,2,2
9/13/2012,3566.5,2,3
9/14/2012,3576.3,5,5
9/15/2012,3582.1,10,6
9/16/2012,3597.6,2,3
9/17/2012,3613.6,-1,3
9/18/2012,3620.2,4,3
9/19/2012,3636.5,-2,4
9/20/2012,3650.5,2,6
9/21/2012,3662.8,0,6
9/22/2012,3672,8,6
9/23/2012,3689.6,-2,6
9/24/2012,3694,10,6
9/25/2012,3700.3,8,7
9/26/2012,3710.5,5,6
9/27/2012,3720.9,4,6
